vetor pesos sinapticos original:
0.279611 0.548235 0.481491 0.114292 
0.468459 0.497421 0.088717 0.922361 
0.172643 0.947111 0.211127 0.666280 
0.031404 0.827784 0.012757 0.487075 
0.221778 0.307993 0.388775 0.996887 
0.515366 0.749260 0.726066 0.121250 
0.376171 0.537370 0.033418 0.834284 
0.380535 0.947630 0.971984 0.192206 
0.740837 0.698935 0.817103 0.572649 
0.213691 0.353923 0.883328 0.524461 
0.174383 0.220893 0.443556 0.135716 
0.138401 0.913968 0.673452 0.325358 
0.511582 0.227760 0.652486 0.964812 
0.850093 0.482803 0.952940 0.236061 
0.411115 0.997620 0.848079 0.132267 
0.276223 0.844386 0.670705 0.507218 
0.828059 0.543840 0.353221 0.579760 
0.861599 0.855983 0.680746 0.299692 
0.111728 0.322489 0.288247 0.481338 
0.478164 0.717795 0.933256 0.110508 
0.728324 0.064058 0.074862 0.732078 
0.960631 0.367382 0.291147 0.323435 
0.608386 0.730644 0.565111 0.560991 
0.266182 0.999420 0.971587 0.884945 
0.119663 0.597888 0.795251 0.269570 
0.260018 0.709861 0.612079 0.104801 
0.664693 0.462142 0.364544 0.094974 
0.125187 0.265816 0.962249 0.582080 
0.903470 0.972381 0.439405 0.198309 
0.397992 0.999969 0.199957 0.255715 
0.601062 0.087222 0.382061 0.777856 
0.627979 0.829951 0.872860 0.580523 
0.100253 0.657155 0.004669 0.307474 
0.663167 0.403119 0.464705 0.827662 
0.419416 0.131230 0.448103 0.899777 
0.560198 0.365978 0.586932 0.510758 
0.974792 0.389447 0.685751 0.794488 
0.119510 0.758660 0.794824 0.936491 
0.928434 0.699545 0.652699 0.971648 
0.045442 0.534471 0.029084 0.880337 
0.160741 0.799066 0.999451 0.889950 
0.731437 0.204566 0.682241 0.387494 
0.868313 0.102542 0.470779 0.349986 
0.670156 0.607318 0.289956 0.698599 
0.786218 0.033326 0.909909 0.482681 
0.488693 0.802881 0.847499 0.300485 
0.036012 0.480819 0.887020 0.862239 
0.608692 0.092715 0.751122 0.101962 
0.598254 0.382275 0.953520 0.744743 
0.531449 0.164281 0.364513 0.734703 
0.410077 0.429975 0.520768 0.431288 
0.748253 0.360240 0.210211 0.978851 
0.088046 0.903348 0.363994 0.756371 
0.275277 0.073336 0.785913 0.313822 
0.275704 0.625721 0.751244 0.700919 
0.814020 0.265725 0.005921 0.594409 
0.616108 0.046632 0.197241 0.130924 
0.536149 0.113498 0.267647 0.851039 
0.349681 0.448775 0.842402 0.660512 
0.493942 0.776360 0.142888 0.215949 
0.536821 0.279885 0.456526 0.640156 
0.655354 0.291971 0.694327 0.973876 
0.905484 0.610034 0.067934 0.270150 
0.564013 0.595660 0.416822 0.737693 
0.323893 0.713370 0.217231 0.838832 
0.624622 0.664815 0.804010 0.749382 
0.898251 0.775384 0.836329 0.085696 
0.012970 0.788507 0.539415 0.305704 
0.695181 0.724845 0.752190 0.689993 
0.211127 0.961943 0.313211 0.309061 
0.089694 0.190802 0.815851 0.883663 
0.167547 0.406018 0.263375 0.943205 
0.737602 0.584765 0.656301 0.189886 
0.082308 0.212012 0.042116 0.473922 
0.173223 0.307474 0.059420 0.286233 
0.817316 0.110782 0.507431 0.175115 
0.032167 0.081118 0.971923 0.993011 
0.931181 0.367626 0.039308 0.379345 
0.898892 0.406446 0.129948 0.386395 
0.339702 0.801599 0.481338 0.653584 
0.779229 0.144536 0.313486 0.036958 
0.600909 0.930143 0.706931 0.100131 
0.198309 0.224006 0.224860 0.372723 
0.825129 0.238594 0.810846 0.782464 
0.923093 0.473098 0.992889 0.167608 
0.210211 0.574755 0.925596 0.275704 
0.309854 0.576495 0.301523 0.154576 
0.201788 0.668294 0.662770 0.342692 
0.277200 0.157537 0.144108 0.764061 
0.278207 0.775475 0.179479 0.734733 
0.903470 0.985260 0.202002 0.987030 
0.360881 0.448531 0.869869 0.117161 
0.649312 0.306223 0.848567 0.363506 
0.849361 0.430219 0.681295 0.120457 
0.205664 0.301767 0.778130 0.095706 
0.281442 0.673421 0.055940 0.515702 
0.966185 0.669973 0.259774 0.286447 
0.618458 0.485611 0.497177 0.515580 
0.124790 0.332591 0.016449 0.302164 
0.155339 0.798456 0.760857 0.200049 
0.398663 0.267281 0.728660 0.261544 
0.055788 0.562212 0.671865 0.067202 
0.375652 0.464370 0.163427 0.648518 
0.512467 0.265419 0.565416 0.708975 
0.486923 0.009156 0.928312 0.050661 
0.532029 0.579333 0.353557 0.611927 
0.604785 0.288797 0.850185 0.022553 
0.345439 0.127445 0.216498 0.083102 
0.265114 0.324259 0.979125 0.073885 
0.443129 0.380139 0.919065 0.300760 
0.515336 0.227607 0.217505 0.782922 
0.234931 0.674032 0.752007 0.490097 
0.386639 0.783807 0.573748 0.034516 
0.335520 0.356639 0.098544 0.224189 
0.992096 0.157750 0.041200 0.383770 
0.474410 0.055910 0.625752 0.849574 
0.248939 0.726493 0.102115 0.544023 
0.031037 0.074679 0.100833 0.037141 
0.226508 0.036103 0.856624 0.000153 
0.195227 0.910276 0.832698 0.457991 
0.118656 0.883755 0.776452 0.747063 
0.751915 0.898923 0.738212 0.584033 
0.841670 0.524705 0.083956 0.152654 
0.491653 0.985473 0.033723 0.613910 
0.256600 0.004425 0.756157 0.946532 
0.245643 0.617786 0.551439 0.523698 
0.017243 0.615650 0.153233 0.332713 
0.545885 0.766350 0.680807 0.242744 
0.042634 0.480148 0.272927 0.228492 
0.910306 0.068636 0.934904 0.954466 
0.614673 0.256081 0.629139 0.627338 
0.752953 0.098941 0.141850 0.521928 
0.100833 0.969909 0.755852 0.087283 
0.919218 0.762627 0.261361 0.039003 
0.301889 0.973327 0.336161 0.344310 
0.845820 0.815760 0.825892 0.505783 
0.424421 0.025391 0.956114 0.050386 
0.346110 0.509659 0.007202 0.629597 
0.678549 0.499649 0.483566 0.637104 
0.020234 0.360454 0.307810 0.750633 
0.500656 0.715903 0.072176 0.303537 
0.290201 0.043550 0.877316 0.892880 
0.400952 0.397443 0.790368 0.129887 
0.059999 0.413221 0.453719 0.939726 
0.436110 0.253151 0.874966 0.315592 
0.000977 0.646992 0.930021 0.934935 
0.306986 0.684286 0.610370 0.542558 
0.461745 0.515397 0.545518 0.508225 
0.081301 0.616657 0.832392 0.463637 
0.003418 0.776360 0.702261 0.426313 
0.541246 0.457656 0.057100 0.315714 
0.559893 0.694754 0.406323 0.268380 
0.156072 0.178289 0.234840 0.658040 
0.222816 0.686941 0.334422 0.227088 
0.679922 0.520219 0.128941 0.235603 
0.651906 0.090304 0.525132 0.034242 
0.374279 0.327708 0.319864 0.967284 
0.109897 0.057833 0.695456 0.011689 
0.855861 0.004700 0.833949 0.059206 
0.122990 0.577563 0.182012 0.246925 
0.568987 0.096988 0.397320 0.243080 
0.765770 0.617054 0.507767 0.894070 
0.883511 0.998962 0.314951 0.139256 
0.571429 0.393139 0.573077 0.599475 
0.817347 0.785852 0.974364 0.745354 
0.066897 0.766289 0.472335 0.052553 
0.384045 0.170751 0.974609 0.049135 
0.933226 0.760155 0.935362 0.661794 
0.565661 0.586596 0.880276 0.767235 
0.790246 0.206122 0.393658 0.355052 
0.910215 0.393139 0.600269 0.207953 
0.607288 0.512925 0.672018 0.505814 
0.754418 0.209082 0.391736 0.259987 
0.737999 0.561052 0.304697 0.983764 
0.071383 0.369091 0.489090 0.505478 
0.580554 0.722251 0.477096 0.330485 
0.943236 0.505753 0.357677 0.458235 
0.862880 0.004212 0.591968 0.060457 
0.658681 0.256722 0.572985 0.927244 
0.552721 0.320078 0.460829 0.086612 
0.435804 0.096652 0.324259 0.504654 
0.392926 0.882809 0.120457 0.271310 
0.769738 0.294259 0.543657 0.179388 
0.061403 0.724845 0.274300 0.101993 
0.405072 0.994415 0.659932 0.075167 
0.956603 0.342662 0.358776 0.491989 
0.933866 0.424970 0.977569 0.313913 
0.607196 0.466201 0.234718 0.706351 
0.018006 0.229102 0.680380 0.003937 
0.707694 0.953520 0.503891 0.412549 
0.237068 0.922178 0.460829 0.353404 
0.778405 0.810205 0.450270 0.856380 
0.560808 0.473617 0.773583 0.908353 
0.450484 0.333934 0.606433 0.162572 
0.446944 0.014283 0.714560 0.916166 
0.376354 0.384136 0.945128 0.760765 
0.563738 0.668233 0.524766 0.813837 
0.764611 0.776330 0.695456 0.936064 
0.137730 0.509842 0.719382 0.841212 
0.540300 0.801752 0.784509 0.505051 
0.926298 0.645863 0.841456 0.779229 
0.053821,
0.053819,
0.053819,
0.053817,
0.053817,
0.053815,
0.053815,
0.053813,
0.053813,
0.053811,
0.053811,
0.053809,
0.053809,
0.053807,
0.053807,
0.053805,
0.053805,
0.053803,
0.053803,
0.053801,
0.053801,
0.053799,
0.053799,
0.053797,
0.053797,
0.053795,
0.053795,
0.053793,
0.053793,
0.053791,
0.053791,
0.053789,
0.053789,
0.053787,
0.053787,
0.053785,
0.053785,
0.053783,
0.053783,
0.053781,
0.053781,
0.053779,
0.053779,
0.053777,
0.053777,
0.053775,
0.053775,
0.053773,
0.053773,
0.053771,
0.053771,
0.053769,
0.053769,
0.053767,
0.053767,
0.053765,
0.053765,
0.053763,
0.053763,
0.053762,
0.053762,
0.053760,
0.053760,
0.053758,
0.053758,
0.053756,
0.053756,
0.053754,
0.053754,
0.053752,
0.053752,
0.053750,
0.053750,
0.053748,
0.053748,
0.053746,
0.053746,
0.053744,
0.053744,
0.053742,
0.053742,
0.053740,
0.053740,
0.053738,
0.053738,
0.053736,
0.053736,
0.053734,
0.053734,
0.053732,
0.053732,
0.053730,
0.053730,
0.053728,
0.053728,
0.053726,
0.053726,
0.053724,
0.053724,
0.053722,
0.053722,
0.053720,
0.053720,
0.053718,
0.053718,
0.053716,
0.053716,
0.053715,
0.053715,
0.053713,
0.053713,
0.053711,
0.053711,
0.053709,
0.053709,
0.053707,
0.053707,
0.053705,
0.053705,
0.053703,
0.053703,
0.053701,
0.053701,
0.053699,
0.053699,
0.053697,
0.053697,
0.053695,
0.053695,
0.053693,
0.053693,
0.053691,
0.053691,
0.053689,
0.053689,
0.053687,
0.053687,
0.053685,
0.053685,
0.053683,
0.053683,
0.053681,
0.053681,
0.053679,
0.053679,
0.053678,
0.053678,
0.053676,
0.053676,
0.053674,
0.053674,
0.053672,
0.053672,
0.053670,
0.053670,
0.053668,
0.053668,
0.053666,
0.053666,
0.053664,
0.053664,
0.053662,
0.053662,
0.053660,
0.053660,
0.053658,
0.053658,
0.053656,
0.053656,
0.053654,
0.053654,
0.053652,
0.053652,
0.053650,
0.053650,
0.053648,
0.053648,
0.053647,
0.053647,
0.053645,
0.053645,
0.053643,
0.053643,
0.053641,
0.053641,
0.053639,
0.053639,
0.053637,
0.053637,
0.053635,
0.053635,
0.053633,
0.053633,
0.053631,
0.053631,
0.053629,
0.053629,
0.053627,
0.053627,
0.053625,
0.053625,
0.053623,
0.053623,
0.053621,
0.053621,
0.053620,
0.053620,
0.053618,
0.053618,
0.053616,
0.053616,
0.053614,
0.053614,
0.053612,
0.053612,
0.053610,
0.053610,
0.053608,
0.053608,
0.053606,
0.053606,
0.053604,
0.053604,
0.053602,
0.053602,
0.053600,
0.053600,
0.053598,
0.053598,
0.053596,
0.053596,
0.053595,
0.053595,
0.053593,
0.053593,
0.053591,
0.053591,
0.053589,
0.053589,
0.053587,
0.053587,
0.053585,
0.053585,
0.053583,
0.053583,
0.053581,
0.053581,
0.053579,
0.053579,
0.053577,
0.053577,
0.053575,
0.053575,
0.053573,
0.053573,
0.053572,
0.053572,
0.053570,
0.053570,
0.053568,
0.053568,
0.053566,
0.053566,
0.053564,
0.053564,
0.053562,
0.053562,
0.053560,
0.053560,
0.053558,
0.053558,
0.053556,
0.053556,
0.053554,
0.053554,
0.053552,
0.053552,
0.053551,
0.053551,
0.053549,
0.053549,
0.053547,
0.053547,
0.053545,
0.053545,
0.053543,
0.053543,
0.053541,
0.053541,
0.053539,
0.053539,
0.053537,
0.053537,
0.053535,
0.053535,
0.053533,
0.053533,
0.053532,
0.053532,
0.053530,
0.053530,
0.053528,
0.053528,
0.053526,
0.053526,
0.053524,
0.053524,
0.053522,
0.053522,
0.053520,
0.053520,
0.053518,
0.053518,
0.053516,
0.053516,
0.053514,
0.053514,
0.053513,
0.053513,
0.053511,
0.053511,
0.053509,
0.053509,
0.053507,
0.053507,
0.053505,
0.053505,
0.053503,
0.053503,
0.053501,
0.053501,
0.053499,
0.053499,
0.053497,
0.053497,
0.053496,
0.053496,
0.053494,
0.053494,
0.053492,
0.053492,
0.053490,
0.053490,
0.053488,
0.053488,
0.053486,
0.053486,
0.053484,
0.053484,
0.053482,
0.053482,
0.053480,
0.053480,
0.053479,
0.053479,
0.053477,
0.053477,
0.053475,
0.053475,
0.053473,
0.053473,
0.053471,
0.053471,
0.053469,
0.053469,
0.053467,
0.053467,
0.053465,
0.053465,
0.053463,
0.053463,
0.053462,
0.053462,
0.053460,
0.053460,
0.053458,
0.053458,
0.053456,
0.053456,
0.053454,
0.053454,
0.053452,
0.053452,
0.053450,
0.053450,
0.053448,
0.053448,
0.053447,
0.053447,
0.053445,
0.053445,
0.053443,
0.053443,
0.053441,
0.053441,
0.053439,
0.053439,
0.053437,
0.053437,
0.053435,
0.053435,
0.053433,
0.053433,
0.053432,
0.053432,
0.053430,
0.053430,
0.053428,
0.053428,
0.053426,
0.053426,
0.053424,
0.053424,
0.053422,
0.053422,
0.053420,
0.053420,
0.053418,
0.053418,
0.053417,
0.053417,
0.053415,
0.053415,
0.053413,
0.053413,
0.053411,
0.053411,
0.053409,
0.053409,
0.053407,
0.053407,
0.053405,
0.053405,
0.053403,
0.053403,
0.053402,
0.053402,
0.053400,
0.053400,
0.053398,
0.053398,
0.053396,
0.053396,
0.053394,
0.053394,
0.053392,
0.053392,
0.053390,
0.053390,
0.053389,
0.053389,
0.053387,
0.053387,
0.053385,
0.053385,
0.053383,
0.053383,
0.053381,
0.053381,
0.053379,
0.053379,
0.053377,
0.053377,
0.053376,
0.053376,
0.053374,
0.053374,
0.053372,
0.053372,
0.053370,
0.053370,
0.053368,
0.053368,
0.053366,
0.053366,
0.053364,
0.053364,
0.053363,
0.053363,
0.053361,
0.053361,
0.053359,
0.053359,
0.053357,
0.053357,
0.053355,
0.053355,
0.053353,
0.053353,
0.053351,
0.053351,
0.053350,
0.053350,
0.053348,
0.053348,
0.053346,
0.053346,
0.053344,
0.053344,
0.053342,
0.053342,
0.053340,
0.053340,
0.053339,
0.053339,
0.053337,
0.053337,
0.053335,
0.053335,
0.053333,
0.053333,
0.053331,
0.053331,
0.053329,
0.053329,
0.053327,
0.053327,
0.053326,
0.053326,
0.053324,
0.053324,
0.053322,
0.053322,
0.053320,
0.053320,
0.053318,
0.053318,
0.053316,
0.053316,
0.053315,
0.053315,
0.053313,
0.053313,
0.053311,
0.053311,
0.053309,
0.053309,
0.053307,
0.053307,
0.053305,
0.053305,
0.053304,
0.053304,
0.053302,
0.053302,
0.053300,
0.053300,
0.053298,
0.053298,
0.053296,
0.053296,
0.053294,
0.053294,
0.053293,
0.053293,
0.053291,
0.053291,
0.053289,
0.053289,
0.053287,
0.053287,
0.053285,
0.053285,
0.053283,
0.053283,
0.053282,
0.053282,
0.053280,
0.053280,
0.053278,
0.053278,
0.053276,
0.053276,
0.053274,
0.053274,
0.053272,
0.053272,
0.053271,
0.053271,
0.053269,
0.053269,
0.053267,
0.053267,
0.053265,
0.053265,
0.053263,
0.053263,
0.053261,
0.053261,
0.053260,
0.053260,
0.053258,
0.053258,
0.053256,
0.053256,
0.053254,
0.053254,
0.053252,
0.053252,
0.053250,
0.053250,
0.053249,
0.053249,
0.053247,
0.053247,
0.053245,
0.053245,
0.053243,
0.053243,
0.053241,
0.053241,
0.053240,
0.053240,
0.053238,
0.053238,
0.053236,
0.053236,
0.053234,
0.053234,
0.053232,
0.053232,
0.053230,
0.053230,
0.053229,
0.053229,
0.053227,
0.053227,
0.053225,
0.053225,
0.053223,
0.053223,
0.053221,
0.053221,
0.053220,
0.053220,
0.053218,
0.053218,
0.053216,
0.053216,
0.053214,
0.053214,
0.053212,
0.053212,
0.053210,
0.053210,
0.053209,
0.053209,
0.053207,
0.053207,
0.053205,
0.053205,
0.053203,
0.053203,
0.053201,
0.053201,
0.053200,
0.053200,
0.053198,
0.053198,
0.053196,
0.053196,
0.053194,
0.053194,
0.053192,
0.053192,
0.053191,
0.053191,
0.053189,
0.053189,
0.053187,
0.053187,
0.053185,
0.053185,
0.053183,
0.053183,
0.053182,
0.053182,
0.053180,
0.053180,
0.053178,
0.053178,
0.053176,
0.053176,
0.053174,
0.053174,
0.053173,
0.053173,
0.053171,
0.053171,
0.053169,
0.053169,
0.053167,
0.053167,
0.053165,
0.053165,
0.053164,
0.053164,
0.053162,
0.053162,
0.053160,
0.053160,
0.053158,
0.053158,
0.053156,
0.053156,
0.053155,
0.053155,
0.053153,
0.053153,
0.053151,
0.053151,
0.053149,
0.053149,
0.053147,
0.053147,
0.053146,
0.053146,
0.053144,
0.053144,
0.053142,
0.053142,
0.053140,
0.053140,
0.053138,
0.053138,
0.053137,
0.053137,
0.053135,
0.053135,
0.053133,
0.053133,
0.053131,
0.053131,
0.053129,
0.053129,
0.053128,
0.053128,
0.053126,
0.053126,
0.053124,
0.053124,
0.053122,
0.053122,
0.053121,
0.053121,
0.053119,
0.053119,
0.053117,
0.053117,
0.053115,
0.053115,
0.053113,
0.053113,
0.053112,
0.053112,
0.053110,
0.053110,
0.053108,
